id,age_group_det,pop,deaths,f_age
03353,ALT005B10,11647,0,5
03353,ALT010B15,12105,1,10
03353,ALT015B20,13627,3,15
03353,ALT020B25,12202,5,20
03353,ALT025B30,12005,2,25
03353,ALT030B35,12923,3,30
03353,ALT035B40,14830,8,35
03353,ALT040B45,15058,19,40
03353,ALT045B50,21367,55,45
03353,ALT050B55,23630,57,50
03353,ALT055B60,19143,88,55
03353,ALT060B65,14996,119,60
03353,ALT065B70,14482,186,65
03353,ALT070B75,12712,222,70
03353,ALT075B80,14098,378,75
03353,ALT080B85,8012,450,80
03353,ALT085UM,6034,879,85
03354,ALT000,333,0,0
03354,ALT001B05,1474,2,1
03354,ALT005B10,1848,0,5
03354,ALT010B15,2281,0,10
03354,ALT015B20,2513,1,15
03354,ALT020B25,2160,1,20
03354,ALT025B30,2123,0,25
03354,ALT030B35,2290,1,30
03354,ALT035B40,2472,2,35
03354,ALT040B45,2449,6,40
03354,ALT045B50,3671,11,45
03354,ALT050B55,4242,15,50
03354,ALT055B60,4118,31,55
03354,ALT060B65,3631,38,60
03354,ALT065B70,3438,46,65
03354,ALT070B75,2802,79,70
03354,ALT075B80,3270,130,75
03354,ALT080B85,1967,146,80
03354,ALT085UM,1743,264,85
03355,ALT000,1672,7,0
03355,ALT001B05,6761,3,1
03355,ALT005B10,8412,0,5
03355,ALT010B15,8847,1,10
03355,ALT015B20,10387,4,15
03355,ALT020B25,11107,5,20
03355,ALT025B30,10996,6,25
03355,ALT030B35,10522,6,30
03355,ALT035B40,11250,6,35
03355,ALT040B45,11133,17,40
03355,ALT045B50,14931,21,45
03355,ALT050B55,16079,55,50
03355,ALT055B60,13147,80,55
03355,ALT060B65,10807,79,60
03355,ALT065B70,9661,144,65
03355,ALT070B75,7668,151,70
03355,ALT075B80,8823,282,75
03355,ALT080B85,5002,307,80
03355,ALT085UM,4400,671,85
03356,ALT000,990,2,0
03356,ALT001B05,3833,3,1
03356,ALT005B10,4928,1,5
03356,ALT010B15,5412,0,10
03356,ALT015B20,6375,0,15
03356,ALT020B25,5266,1,20
03356,ALT025B30,5055,2,25
03356,ALT030B35,5481,2,30
03356,ALT035B40,6237,2,35
03356,ALT040B45,6524,7,40
03356,ALT045B50,9715,14,45
03356,ALT050B55,10552,37,50
03356,ALT055B60,9045,49,55
03356,ALT060B65,7355,82,60
03356,ALT065B70,7025,80,65
03356,ALT070B75,5895,128,70
03356,ALT075B80,6536,208,75
03356,ALT080B85,3650,204,80
03356,ALT085UM,2821,461,85
03357,ALT000,1393,5,0
03357,ALT001B05,5489,2,1
03357,ALT005B10,7292,1,5
03357,ALT010B15,8242,0,10
03357,ALT015B20,10127,3,15
03357,ALT020B25,9259,3,20
03357,ALT025B30,9280,7,25
03357,ALT030B35,8917,6,30
03357,ALT035B40,8954,5,35
03357,ALT040B45,9502,15,40
03357,ALT045B50,13431,27,45
03357,ALT050B55,14674,48,50
03357,ALT055B60,12645,70,55
03357,ALT060B65,10604,116,60
03357,ALT065B70,9306,119,65
03357,ALT070B75,6938,149,70
03357,ALT075B80,8335,308,75
03357,ALT080B85,4900,295,80
03357,ALT085UM,4084,700,85
03358,ALT000,1185,5,0
03358,ALT001B05,4909,0,1
03358,ALT005B10,6168,0,5
03358,ALT010B15,6848,0,10
03358,ALT015B20,8050,2,15
03358,ALT020B25,7752,3,20
03358,ALT025B30,8111,0,25
03358,ALT030B35,7542,5,30
03358,ALT035B40,7498,2,35
03358,ALT040B45,7638,14,40
03358,ALT045B50,11088,26,45
03358,ALT050B55,12200,48,50
03358,ALT055B60,10967,79,55
03358,ALT060B65,8929,95,60
03358,ALT065B70,7899,87,65
03358,ALT070B75,6353,148,70
03358,ALT075B80,7693,248,75
03358,ALT080B85,4781,281,80
03358,ALT085UM,4030,639,85
03359,ALT000,1974,9,0
03359,ALT001B05,7394,1,1
03359,ALT005B10,9400,0,5
03359,ALT010B15,9923,0,10
03359,ALT015B20,11673,6,15
03359,ALT020B25,10957,7,20
03359,ALT025B30,11595,3,25
03359,ALT030B35,11545,5,30
03359,ALT035B40,11791,5,35
03359,ALT040B45,12207,11,40
03359,ALT045B50,16071,25,45
03359,ALT050B55,17353,47,50
03359,ALT055B60,15179,96,55
03359,ALT060B65,12392,89,60
03359,ALT065B70,11585,139,65
03359,ALT070B75,9256,177,70
03359,ALT075B80,10668,378,75
03359,ALT080B85,5946,377,80
03359,ALT085UM,4729,764,85
03360,ALT000,683,3,0
03360,ALT001B05,2813,0,1
03360,ALT005B10,3688,1,5
03360,ALT010B15,4265,0,10
03360,ALT015B20,5003,1,15
03360,ALT020B25,4795,2,20
03360,ALT025B30,4760,1,25
03360,ALT030B35,4333,4,30
03360,ALT035B40,4737,7,35
03360,ALT040B45,5308,7,40
03360,ALT045B50,7272,21,45
03360,ALT050B55,8293,37,50
03360,ALT055B60,7600,49,55
03360,ALT060B65,6408,65,60
03360,ALT065B70,5747,95,65
03360,ALT070B75,4594,129,70
03360,ALT075B80,5984,208,75
03360,ALT080B85,3605,233,80
03360,ALT085UM,3073,546,85
03361,ALT000,1300,6,0
03361,ALT001B05,5230,1,1
03361,ALT005B10,6243,0,5
03361,ALT010B15,6550,0,10
